CL_CD,CL_NM,AREA_NM,ADDR,BASE_YEAR,ALL_TOTAL_CO,JAN_VIEWS_CO,FEB_VIEWS_CO,MAR_VIEWS_CO,APR_VIEWS_CO,MAY_VIEWS_CO,JUN_VIEWS_CO,JULY_VIEWS_CO,AUG_VIEWS_CO,SEP_VIEWS_CO,OCT_VIEWS_CO,NOV_VIEWS_CO,DEC_VIEWS_CO
c1,관광지,(주)제주해양레저 투명카약,제주특별자치도 제주시 애월읍 애월로1길 22,2022,97,0,0,0,0,0,0,0,0,0,97,0,0
c1,관광지,1100고지(휴게소),제주특별자치도 서귀포시 1100로 1555,2022,641,0,0,0,0,0,0,0,0,0,641,0,0
c1,관광지,1100고지습지,제주특별자치도 서귀포시 색달동 산 1-2,2022,805,0,0,0,0,0,0,0,0,0,805,0,0
c1,관광지,1111,제주특별자치도 서귀포시 성산읍 일출로 284-12,2022,1,0,0,0,0,0,0,0,0,0,1,0,0
c1,관광지,1112도로,제주특별자치도 제주시 명림로 584 (봉개동),2022,93,0,0,0,0,0,0,0,0,0,93,0,0
c1,관광지,4·3해원방사탑,제주특별자치도 제주시 신산로 82,2022,95,0,0,0,0,0,0,0,0,0,95,0,0
c1,관광지,5.16도로숲터널,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,2022,264,0,0,0,0,0,0,0,0,0,264,0,0
c1,관광지,9.81 파크,제주특별자치도 제주시 애월읍 천덕로 880-24,2022,515,0,0,0,0,0,0,0,0,0,515,0,0
c1,관광지,9연대 본부 옛터,제주특별자치도 서귀포시 대정읍 일주서로 2497,2022,77,0,0,0,0,0,0,0,0,0,77,0,0
c1,관광지,M1971 요트투어,제주특별자치도 서귀포시 대정읍 최남단해안로 128,2022,115,0,0,0,0,0,0,0,0,0,115,0,0
c1,관광지,SM 디지털아트 뮤지엄,제주특별자치도 제주시 애월읍 애월해안로 516-7,2022,184,0,0,0,0,0,0,0,0,0,184,0,0
c1,관광지,THE WE,제주특별자치도 서귀포시 1100로 453-95,2022,56,0,0,0,0,0,0,0,0,0,56,0,0
c1,관광지,WE호텔 웰니스센터,제주특별자치도 서귀포시 1100로 453-95,2022,203,0,0,0,0,0,0,0,0,0,203,0,0
c1,관광지,____[삭제],제주특별자치도 제주시 조천읍 번영로 1218 (대흘리) 제주옹기정원 야원,2022,4,0,0,0,0,0,0,0,0,0,4,0,0
c1,관광지,가마오름,제주특별자치도 제주시 한경면 청수서5길 63,2022,107,0,0,0,0,0,0,0,0,0,107,0,0
c1,관광지,가마오름 진지동굴,제주특별자치도 제주시 한경면 청수서5길 63,2022,152,0,0,0,0,0,0,0,0,0,152,0,0
c1,관광지,가메오름,제주특별자치도 제주시 애월읍 봉성리 산 125,2022,119,0,0,0,0,0,0,0,0,0,119,0,0
c1,관광지,가뫼물,제주특별자치도 서귀포시 남원읍 남위남성로 168,2022,365,0,0,0,0,0,0,0,0,0,365,0,0
