ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202208,한국맥도날드(유)제주탑동점,제주시,건입동,제주시내,패스트푸드,햄버거,3.44,30.79,0.28,4.82,0.54,8.58,-8.58,13346,다다09b03a
202208,모드락탑동점,제주시,건입동,제주시내,한식,단품요리 전문,2.08,6.05,0.35,1.96,0.49,2.56,-2.56,13284,다다09a03a
202208,산지물,제주시,건입동,제주시내,한식,가정식,2.65,4.05,0.67,1.52,0.83,1.89,-1.89,13213,다다09b03a
202208,고집돌우럭,제주시,건입동,제주시내,한식,회,0.34,0.26,0.9,1.46,0.85,1.29,-1.29,13023,다다09b03a
202208,산지해장국,제주시,건입동,제주시내,한식,해장국,0.98,3.38,0.22,1.42,0.28,1.7,-1.7,13177,다다09b03a
202208,국제토산품스낵,제주시,건입동,제주시내,한식,단품요리 전문,0.28,1.91,0.1,1.42,0.12,1.49,-1.49,13115,다다11a03b
202208,주식회사 제이에스디비,제주시,건입동,제주시내,한식,단품요리 전문,0.31,2.29,0.08,1.18,0.1,1.34,-1.34,13051,다다09b03a
202208,롯데리아 제주항디티점,제주시,건입동,제주시내,패스트푸드,햄버거,1.34,9.26,0.07,0.9,0.18,2.11,-2.11,13249,다다10a03a
202208,에이바우트커피칠성점,제주시,건입동,제주시내,음료,커피,0.84,10.36,0.05,0.85,0.11,2.23,-2.23,13262,다다09b03a
202208,돈향기,제주시,건입동,제주시내,한식,돼지고기,0.48,0.45,0.48,0.84,0.48,0.78,-0.78,12735,다다09b03a
202208,돔베돈,제주시,건입동,제주시내,한식,돼지고기,0.53,0.53,0.47,0.82,0.47,0.78,-0.78,12736,다다09b03a
202208,물항식당본점,제주시,건입동,제주시내,한식,가정식,0.41,0.69,0.37,0.77,0.37,0.76,-0.76,12715,다다09b03a
202208,(주)한일고속,제주시,건입동,제주시내,한식,단품요리 전문,0.05,0.53,0.04,0.69,0.04,0.67,-0.67,12585,다다10a03b
202208,카페타리,제주시,건입동,제주시내,음료,커피,0,0,0.02,0.68,0.02,0.58,-0.58,12438,다다11b02b
202208,(주)참숯구이몬트락,제주시,건입동,제주시내,한식,가정식,1.09,0.86,0.38,0.66,0.44,0.69,-0.69,12616,다다09b03a
202208,주식회사 바스코,제주시,건입동,제주시내,한식,단품요리 전문,4.41,7.07,0.12,0.58,0.48,1.52,-1.52,13123,다다09a03a
202208,남양,제주시,건입동,제주시내,한식,가정식,0.7,1.55,0.07,0.54,0.12,0.69,-0.69,12617,다다10a03b
202208,팔도수산,제주시,건입동,제주시내,한식,회,0.56,1,0.11,0.44,0.15,0.52,-0.52,12300,다다09b03a
202208,앞돈지,제주시,건입동,제주시내,한식,돼지고기,1.82,2.26,0.21,0.43,0.34,0.69,-0.69,12618,다다09b03a
202208,윤옥,제주시,건입동,제주시내,한식,단품요리 전문,0.99,3.53,0.05,0.38,0.13,0.84,-0.84,12795,다다09a03a
202208,제주시건입동도시재생현장지원센터,제주시,건입동,제주시내,음료,커피,0.16,1.29,0.03,0.38,0.04,0.51,-0.51,12277,다다11a03b
202208,뽀글뽀글,제주시,건입동,제주시내,한식,가정식,0.75,2.24,0.07,0.36,0.13,0.63,-0.63,12530,다다10a03a
202208,서가앤쿡 제주점,제주시,건입동,제주시내,양식,패밀리 레스토랑,1.29,1.88,0.1,0.34,0.19,0.56,-0.56,12398,다다09b03a
