,음식점명,시군구명,행정동명,지역명,중분류,소분류,10월현지인매출금액,10월현지인매출수,10월외지인매출금액,10월외지인매출수,10월전체매출금액비율,10월전체매출수비율,9월현지인매출금액,9월현지인매출수,9월외지인매출금액,9월외지인매출수,9월전체매출금액비율,9월전체매출수비율,8월현지인매출금액,8월현지인매출수,8월외지인매출금액,8월외지인매출수,8월전체매출금액비율,8월전체매출수비율,현지인매출금액비율,현지인매출수비율,외지인매출금액비율,외지인매출수비율,3개월전체매출금액,3개월전체매출수
0,한국맥도날드(유)제주탑동점,제주시,건입동,제주시내,패스트푸드,햄버거,9.99,35.3,0.33,8.41,1.02,19.61,8.79,32.54,0.38,7.22,1.06,16.79,3.44,30.79,0.28,4.82,0.54,8.58,7.41,32.88,0.33,6.82,0.87,14.99
1,모드락탑동점,제주시,건입동,제주시내,한식,단품요리 전문,3.6,4.72,0.6,4.8,0.84,5.66,3.74,5.31,0.62,4.06,0.88,5.24,2.08,6.05,0.35,1.96,0.49,2.56,3.14,5.36,0.52,3.61,0.74,4.49
2,산지해장국,제주시,건입동,제주시내,한식,해장국,3.06,4.23,0.49,4.18,0.69,4.97,2.5,4.05,0.43,2.83,0.6,3.77,0.98,3.38,0.22,1.42,0.28,1.7,2.18,3.89,0.38,2.81,0.52,3.48
3,산지해장국,제주시,건입동,제주시내,한식,해장국,3.06,4.23,0.49,4.18,0.69,4.97,2.5,4.05,0.43,2.83,0.6,3.77,0.33,1.24,0.06,0.4,0.08,0.52,1.96,3.17,0.33,2.47,0.46,3.09
4,산지해장국,제주시,건입동,제주시내,한식,해장국,3.06,4.23,0.49,4.18,0.69,4.97,1.25,1.9,0.13,0.86,0.23,1.36,0.98,3.38,0.22,1.42,0.28,1.7,1.76,3.17,0.28,2.15,0.4,2.68
5,산지해장국,제주시,건입동,제주시내,한식,해장국,3.06,4.23,0.49,4.18,0.69,4.97,1.25,1.9,0.13,0.86,0.23,1.36,0.33,1.24,0.06,0.4,0.08,0.52,1.55,2.46,0.23,1.81,0.33,2.28
6,고집돌우럭,제주시,건입동,제주시내,한식,회,1.02,0.38,1.85,4.05,1.89,3.49,0.49,0.17,2.2,3.56,2.08,3.14,0.34,0.26,0.9,1.46,0.85,1.29,0.62,0.27,1.65,3.02,1.61,2.64
7,주식회사 제이에스디비,제주시,건입동,제주시내,한식,단품요리 전문,1.45,3.88,0.17,2.73,0.26,3.65,1.03,3.1,0.14,2.01,0.22,2.75,0.31,2.29,0.08,1.18,0.1,1.34,0.93,3.09,0.13,1.97,0.19,2.58
8,산지물,제주시,건입동,제주시내,한식,가정식,2.24,1.44,0.9,2.6,1.04,2.67,2.69,1.79,1.09,2.28,1.22,2.55,2.65,4.05,0.67,1.52,0.83,1.89,2.53,2.43,0.89,2.13,1.03,2.37
9,국제토산품스낵,제주시,건입동,제주시내,한식,단품요리 전문,0.99,3.12,0.15,2.57,0.21,3.24,0.74,2.12,0.09,1.33,0.14,1.84,0.28,1.91,0.1,1.42,0.12,1.49,0.67,2.38,0.11,1.77,0.16,2.19
10,카페타리,제주시,건입동,제주시내,음료,커피,0.0,0.0,0.04,2.23,0.04,1.85,0.0,0.0,0.04,1.68,0.03,1.46,0.0,0.0,0.02,0.68,0.02,0.58,0.0,0.0,0.03,1.53,0.03,1.3
11,물항식당본점,제주시,건입동,제주시내,한식,가정식,1.06,0.81,0.74,2.01,0.8,1.95,0.73,0.5,0.61,1.25,0.63,1.25,0.41,0.69,0.37,0.77,0.37,0.76,0.73,0.67,0.57,1.34,0.6,1.32
12,(주)한일고속,제주시,건입동,제주시내,한식,단품요리 전문,0.31,0.84,0.08,1.85,0.1,1.84,0.23,0.95,0.04,0.87,0.06,1.06,0.05,0.53,0.04,0.69,0.04,0.67,0.2,0.77,0.05,1.14,0.07,1.19
13,돔베돈,제주시,건입동,제주시내,한식,돼지고기,2.18,0.63,0.84,1.74,0.97,1.66,1.11,0.36,0.73,1.16,0.76,1.12,0.53,0.53,0.47,0.82,0.47,0.78,1.27,0.51,0.68,1.24,0.73,1.19
14,에이바우트커피칠성점,제주시,건입동,제주시내,음료,커피,1.36,6.97,0.06,1.72,0.15,3.92,1.86,9.14,0.07,1.8,0.22,4.52,0.84,10.36,0.05,0.85,0.11,2.23,1.35,8.82,0.06,1.46,0.16,3.56
15,돈향기,제주시,건입동,제주시내,한식,돼지고기,0.76,0.41,0.76,1.67,0.8,1.52,0.54,0.22,0.88,1.55,0.85,1.41,0.48,0.45,0.48,0.84,0.48,0.78,0.59,0.36,0.71,1.35,0.71,1.24
16,롯데리아 제주항디티점,제주시,건입동,제주시내,패스트푸드,햄버거,3.37,8.7,0.09,1.57,0.32,4.42,3.3,9.03,0.1,1.29,0.36,4.05,1.34,9.26,0.07,0.9,0.18,2.11,2.67,9.0,0.09,1.25,0.29,3.53
17,남양,제주시,건입동,제주시내,한식,가정식,1.16,2.41,0.12,1.51,0.2,2.12,1.24,2.38,0.11,1.0,0.2,1.64,0.7,1.55,0.07,0.54,0.12,0.69,1.03,2.11,0.1,1.02,0.17,1.48
18,주식회사 바스코,제주시,건입동,제주시내,한식,단품요리 전문,12.93,8.97,0.25,1.42,1.15,4.39,10.39,8.64,0.32,1.11,1.13,3.76,4.41,7.07,0.12,0.58,0.48,1.52,9.24,8.23,0.23,1.04,0.92,3.22
19,신현대식당,제주시,건입동,제주시내,한식,가정식,0.21,0.16,0.49,1.31,0.49,1.15,0.39,0.31,0.36,0.98,0.36,0.95,0.18,0.26,0.11,0.25,0.11,0.25,0.26,0.24,0.32,0.85,0.32,0.78
20,(주)참숯구이몬트락,제주시,건입동,제주시내,한식,가정식,1.48,0.49,0.53,1.09,0.62,1.08,2.05,0.67,0.6,0.96,0.72,1.05,1.09,0.86,0.38,0.66,0.44,0.69,1.54,0.67,0.5,0.9,0.59,0.94
